ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000065.SZ,20191226,8.35,8.43,8.31,8.42,8.34,0.08,0.9592,22766.53,19060.742
000065.SZ,20191225,8.38,8.46,8.31,8.34,8.38,-0.04,-0.4773,19518.59,16355.13
000065.SZ,20191224,8.36,8.4,8.2,8.38,8.33,0.05,0.6002,33723.86,28076.286
000065.SZ,20191223,8.49,8.54,8.31,8.33,8.49,-0.16,-1.8846,28441.75,23954.048
000065.SZ,20191220,8.52,8.71,8.48,8.49,8.52,-0.03,-0.3521,47058.56,40449.0
000065.SZ,20191219,8.4,8.54,8.4,8.52,8.44,0.08,0.9479,25683.76,21813.379
000065.SZ,20191218,8.55,8.57,8.43,8.44,8.52,-0.08,-0.939,33267.63,28281.893
000065.SZ,20191217,8.39,8.57,8.35,8.52,8.39,0.13,1.5495,51334.72,43499.752
000065.SZ,20191216,8.33,8.42,8.26,8.39,8.29,0.1,1.2063,36120.7,30160.665
000065.SZ,20191213,8.29,8.3,8.21,8.29,8.19,0.1,1.221,25218.02,20845.477
000065.SZ,20191212,8.25,8.28,8.18,8.19,8.28,-0.09,-1.087,24688.26,20288.154
000065.SZ,20191211,8.32,8.42,8.25,8.28,8.33,-0.05,-0.6002,34232.33,28504.769
000065.SZ,20191210,8.29,8.38,8.23,8.33,8.29,0.04,0.4825,45055.77,37541.601
000065.SZ,20191209,8.21,8.35,8.15,8.29,8.21,0.08,0.9744,38993.25,32329.732
000065.SZ,20191206,8.08,8.23,8.08,8.21,8.09,0.12,1.4833,32472.0,26565.58
000065.SZ,20191205,8.0,8.13,7.99,8.09,8.0,0.09,1.125,24040.69,19418.663
000065.SZ,20191204,7.97,8.03,7.94,8.0,8.02,-0.02,-0.2494,12618.5,10076.891
000065.SZ,20191203,7.9,8.03,7.9,8.02,7.96,0.06,0.7538,14675.25,11681.621
000065.SZ,20191202,7.95,8.06,7.94,7.96,7.96,0.0,0.0,10848.5,8661.68
000065.SZ,20191129,8.0,8.08,7.91,7.96,8.01,-0.05,-0.6242,14727.5,11725.595
000065.SZ,20191128,8.03,8.11,7.98,8.01,8.0,0.01,0.125,16415.65,13173.695
000065.SZ,20191127,8.08,8.08,7.97,8.0,8.08,-0.08,-0.9901,15433.28,12380.865
000065.SZ,20191126,8.19,8.19,8.05,8.08,8.17,-0.09,-1.1016,16677.25,13498.557
000065.SZ,20191125,7.96,8.2,7.93,8.17,8.01,0.16,1.9975,30529.53,24770.949
000065.SZ,20191122,7.96,8.07,7.93,8.01,7.95,0.06,0.7547,18072.5,14458.714
000065.SZ,20191121,7.96,8.0,7.91,7.95,7.95,0.0,0.0,10975.77,8740.977
000065.SZ,20191120,8.06,8.08,7.94,7.95,8.06,-0.11,-1.3648,15869.5,12707.949
000065.SZ,20191119,7.88,8.07,7.88,8.06,7.88,0.18,2.2843,21583.82,17271.964
000065.SZ,20191118,7.85,7.92,7.75,7.88,7.85,0.03,0.3822,15188.43,11944.698
000065.SZ,20191115,8.0,8.0,7.83,7.85,8.0,-0.15,-1.875,29043.57,22895.441
000065.SZ,20191114,8.02,8.07,7.95,8.0,7.97,0.03,0.3764,15685.5,12559.889
000065.SZ,20191113,8.12,8.14,7.96,7.97,8.11,-0.14,-1.7263,19990.59,15990.708
000065.SZ,20191112,8.07,8.12,7.91,8.11,8.08,0.03,0.3713,22305.69,17870.864
000065.SZ,20191111,8.22,8.25,8.08,8.08,8.27,-0.19,-2.2975,25179.83,20477.771
000065.SZ,20191108,8.34,8.38,8.25,8.27,8.32,-0.05,-0.601,19118.25,15898.189
000065.SZ,20191107,8.38,8.4,8.27,8.32,8.3,0.02,0.241,19422.75,16179.59
000065.SZ,20191106,8.36,8.48,8.27,8.3,8.35,-0.05,-0.5988,32619.74,27352.344
000065.SZ,20191105,8.26,8.39,8.17,8.35,8.25,0.1,1.2121,24725.39,20507.197
000065.SZ,20191104,8.29,8.34,8.2,8.25,8.29,-0.04,-0.4825,25208.77,20900.547
