trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000525.SZ,12.4843,12.5021,12.0646,12.2699,12.386,-0.11609999999999943,-0.9373,6052.1,8326.013,0.2189,0.53,,,,,,,,,,,,,,
20120105,000525.SZ,12.1271,12.1896,11.7788,11.7877,12.2699,-0.48220000000000063,-3.9299,5805.0,7791.7218,0.21,0.48,,,,,,,,,,,,,,
20120106,000525.SZ,12.0288,12.0288,11.118,11.1983,11.7877,-0.5893999999999995,-5.0001,19326.48,24639.1049,0.6992,1.76,,,,,,,,,,,,,,
20120109,000525.SZ,11.2073,11.6806,10.9483,11.6627,11.1983,0.4643999999999995,4.1471,20066.99,25724.4397,0.726,1.69,,,,,,,,,,,,,,
20120110,000525.SZ,11.8324,12.136,11.618,12.136,11.6627,0.47330000000000005,4.0582,18332.72,24410.5957,0.6632,1.33,11.8109,13916.658,,,,,,,,,,,,
20120111,000525.SZ,12.1449,12.4575,12.0199,12.4396,12.136,0.3036000000000012,2.5016,24772.18,34002.5166,0.8962,1.78,11.8449,17660.674,,,,,,,,,,,,
20120112,000525.SZ,12.4485,13.3951,12.3414,12.4575,12.4396,0.01789999999999914,0.1439,48889.73,68937.2515,1.7687,2.77,11.9788,26277.62,,,,,,,,,,,,
20120113,000525.SZ,12.5021,12.5021,11.7877,12.2253,12.4575,-0.23219999999999885,-1.8639,15810.56,21615.997,0.572,0.6,12.1842,25574.436,,,,,,,,,,,,
20120116,000525.SZ,12.1896,12.1896,11.5734,11.5913,12.2253,-0.6340000000000003,-5.186,5885.99,7770.8185,0.2129,0.23,12.1699,22738.236,,,,,,,,,,,,
20120117,000525.SZ,11.5913,12.2342,11.2519,12.2342,11.5913,0.6428999999999991,5.5464,21454.6,28388.305,0.7762,0.94,12.1896,23362.612,12.0002,18639.635,,,,,,,,,,
20120118,000525.SZ,12.1092,12.3682,11.877,12.0556,12.2342,-0.17859999999999943,-1.4598,22294.6,30384.4516,0.8066,0.95,12.1128,22867.096,11.9788,20263.885,,,,,,,,,,
20120119,000525.SZ,12.1003,12.3235,11.8592,12.0735,12.0556,0.01789999999999914,0.1485,12935.5,17506.3952,0.468,0.57,12.036,15676.25,12.0074,20976.935,,,,,,,,,,
20120120,000525.SZ,12.2164,12.386,12.0378,12.2789,12.0735,0.20540000000000092,1.7012,12431.97,16996.7031,0.4498,0.79,12.0467,15000.532,12.1155,20287.484,12.0316,18004.4938,,,,,,,,
20120130,000525.SZ,12.3325,12.6807,12.1539,12.2253,12.2789,-0.053599999999999426,-0.4365,14083.0,19621.5155,0.5095,0.94,12.1735,16639.934,12.1717,19689.085,12.0281,18622.2554,,,,,,,,
20120131,000525.SZ,12.1806,12.3146,12.011,12.1628,12.2253,-0.0625,-0.5112,9659.03,13132.1682,0.3494,0.58,12.1592,14280.82,12.1744,18821.716,12.057,18918.7192,,,,,,,,
20120201,000525.SZ,12.1628,12.2432,12.1271,12.1271,12.1628,-0.03570000000000029,-0.2935,7466.36,10188.2071,0.2701,0.52,12.1735,11315.172,12.1431,17091.134,12.1284,18006.4023,,,,,,,,
